품목코드,품종,품목,규격,단위, 개당단가 , 구입연도 ,구입일자,수량,구입가격,발주일자,입고일자,리드타임
AD-ACE-00001,골재 / 목재,나왕판재,30×300×3600mm(상품),재," 5,500 ",2020,2020-10-01,20," 110,000 ",2020-09-25,2020-09-27,2
AE-ACF-00001,토목자재,스트레이트아스팔트,AP-3 침입도 80∼100㎜,kg, 490 ,2020,2020-10-24,19," 9,310 ",2020-10-03,2020-12-03,61
AE-ACG-00001,토목자재,아스콘,#467기층용,M/T," 63,000 ",2020,2020-12-11,33," 2,079,000 ",2020-11-22,2021-04-01,130
AE-ACH-00001,토목자재,보차도경계석,직선200×250×1000㎜                      ,EA," 29,520 ",2020,2020-12-04,38," 1,121,760 ",2020-11-06,2020-11-29,23
AE-ACI-00001,토목자재,보차도용콘크리트조립블록,U형블록 6T백.청.황.녹,㎡," 11,000 ",2020,2020-12-10,39," 429,000 ",2020-12-07,2020-12-16,9
AE-ACJ-00001,토목자재,콘크리트보차도경계블록,KSF4006 B형 18×20.5×25×100㎜,EA," 7,600 ",2020,2020-11-25,50," 380,000 ",2020-11-06,2021-03-25,139
AE-ACK-00001,토목자재,U형블록,222×110.5×60 회색,㎡," 8,500 ",2020,2020-11-22,6," 51,000 ",2020-11-07,2021-04-07,151
AE-ACL-00001,토목자재,돌망태,"사다리꼴블록개비온(석재포함),아연도금철선4종(ø4mm) 1×1×0.2m",EA," 80,000 ",2020,2020-12-25,21," 1,680,000 ",2020-12-09,2021-05-03,145
AE-ACM-00001,토목자재,흄관,500×42㎜(보통관),본," 79,800 ",2020,2020-08-04,7," 558,600 ",2020-07-11,2020-09-06,57
AE-ACN-00001,토목자재,콘크리트파일(PHC PILE),400×65×10m(A종),본," 249,900 ",2020,2020-05-26,45," 11,245,500 ",2020-05-16,2020-10-15,152
AE-ACO-00001,토목자재,V.R관,500mm(보통관2종),본," 79,300 ",2020,2020-08-08,44," 3,489,200 ",2020-07-23,2021-01-01,162
AE-ACP-00001,토목자재,U형강널말뚝,400*150*13㎜,M/T," 1,140,000 ",2020,2020-01-26,8," 9,120,000 ",2019-12-29,2020-03-14,76
AE-ACQ-00001,토목자재,산업용화약,뉴마이트플러스Ⅰ 25mm  20kg/Box,Box," 74,200 ",2020,2020-02-14,42," 3,116,400 ",2020-02-09,2020-06-30,142
AF-ACR-00001,건축자재,콘크리트벽돌,190×90×57㎜ KS,매, 70 ,2020,2020-12-05,21," 1,470 ",2020-11-20,2021-01-19,60
AF-ACS-00001,건축자재,콘크리트블록,B-6 150×190×390㎜ KS,매, 700 ,2020,2020-09-20,22," 15,400 ",2020-09-02,2020-12-25,114
AF-ACT-00001,건축자재,점토벽돌,"SH3201/3205(미장,토담) 190×90×57㎜",EA, 380 ,2020,2020-12-11,11," 4,180 ",2020-11-25,2021-02-18,85
AF-ACU-00001,건축자재,대리석,"평창대리석, 벽체용 20T(물갈기)",㎡," 140,000 ",2020,2020-01-24,15," 2,100,000 ",2019-12-31,2020-06-04,156
AF-ACV-00001,건축자재,화강석,포천석 (A급) 원석,재," 8,000 ",2020,2020-12-16,12," 96,000 ",2020-11-30,2021-02-07,69
AF-ACW-00001,건축자재,석재타일,"자기질, GN 150x150x15T",㎡," 27,000 ",2020,2020-01-19,11," 297,000 ",2019-12-22,2020-05-18,148
AF-ACX-00001,건축자재,외장타일,"200×200×9T(파스텔,무유,일반컬러)",㎡," 33,000 ",2020,2020-01-16,0, - ,2020-01-16,2020-03-23,67
AF-ACY-00001,건축자재,아스팔트루핑,"루핑 25kg, 1m×21m, KSF 4902",R/L," 50,000 ",2020,2020-10-02,28," 1,400,000 ",2020-09-16,2020-10-31,45
AF-ACZ-00001,건축자재,그을림점토기와,"한식그을림기와(중와)여와, 360×300×21",매," 2,080 ",2020,2020-03-02,43," 89,440 ",2020-02-25,2020-08-23,180
AF-ADA-00001,건축자재,브로운아스팔트,KSM2204 PN. 침입도 10∼20,M/T," 1,700,000 ",2020,2020-01-03,36," 61,200,000 ",2020-01-02,2020-06-17,167
AF-ADB-00001,건축자재,플라스틱창문틀,LNH-115미서기창115×1000×1000(WHITE),Set," 98,000 ",2020,2020-05-02,37," 3,626,000 ",2020-04-21,2020-10-04,166
AF-ADC-00001,건축자재,알루미늄새시,프로로폰(불소코팅)에버그린,kg," 8,200 ",2020,2020-09-06,40," 328,000 ",2020-08-30,2021-01-03,126
AF-ADD-00001,건축자재,판유리,"맑은유리,5mm 152.4×304.8㎝",㎡," 7,620 ",2020,2020-11-13,8," 60,960 ",2020-10-27,2020-11-26,30
AF-ADE-00001,건축자재,수성도료(수성),"KSM6010 2종 2급, 백색, 내부용 18ℓ",통," 46,800 ",2020,2020-12-06,13," 608,400 ",2020-11-14,2021-02-15,93
AF-ADF-00001,건축자재,유성도료(조합),"KSM6020 1종 1급, 백색, 18ℓ",통," 118,400 ",2020,2020-11-25,36," 4,262,400 ",2020-10-26,2021-01-18,84
AF-ADG-00001,건축자재,도로용페인트,"KSM6080 3종 가열형(백색), 18ℓ",통," 97,000 ",2020,2020-10-01,1," 97,000 ",2020-10-01,2021-03-22,172
AF-ADH-00001,건축자재,유성도료(에나멜),"KSM6020  2종, 1급, 백색, 18ℓ",통," 111,900 ",2020,2020-07-13,7," 783,300 ",2020-07-08,2020-10-01,85
AF-ADI-00001,건축자재,비닐시트바닥재(숲),블루 2.0T* 1830mm,㎡," 16,000 ",2020,2020-02-19,14," 224,000 ",2020-01-26,2020-05-21,116
AF-ADJ-00001,건축자재,디럭스타일,LG 3.0×300×300㎜(디럭스마블),㎡," 7,600 ",2020,2020-09-06,36," 273,600 ",2020-08-10,2021-01-20,163
AF-ADK-00001,건축자재,스티로폼,1호 10×900×1.800㎜,매," 1,940 ",2020,2020-08-06,40," 77,600 ",2020-07-17,2020-07-31,14
AF-ADL-00001,건축자재,유리섬유보드,#64K(밀도) 50mm 1m×2m,㎡," 8,320 ",2020,2020-03-01,6," 49,920 ",2020-02-23,2020-06-22,120
AF-ADM-00001,건축자재,합판,(내수합판)12㎜×1220×2440㎜(4′×8′),매," 25,500 ",2020,2020-04-27,21," 535,500 ",2020-04-22,2020-05-26,34
AF-ADN-00001,건축자재,마이텍스,12mm×300×600,㎡," 8,200 ",2020,2020-09-06,41," 336,200 ",2020-08-10,2020-11-27,109
AF-ADO-00001,건축자재,일반석고보드,9.5×900×1800㎜,매," 3,900 ",2020,2020-04-21,33," 128,700 ",2020-04-03,2020-04-09,6
AG-ADP-00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(흑관),m," 1,670 ",2020,2020-03-07,5," 8,350 ",2020-02-27,2020-03-06,8
AG-ADP-00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(백관),m," 2,250 ",2020,2020-02-25,23," 51,750 ",2020-02-14,2020-04-21,67
AG-ADQ-00001,배관설비재,공업배관용스테인리스관,STS 304 TP-A  호칭 15A 두께 2.0t -KSD3576-,m," 4,180 ",2020,2020-08-20,14," 58,520 ",2020-08-14,2020-10-02,49
AG-ADR-00001,배관설비재,폴리부틸렌(PB)파이프,"급수,급탕관(직관,롤관) 15mm",m, 740 ,2020,2020-06-25,7," 5,180 ",2020-06-11,2020-09-07,88
AG-ADS-00001,배관설비재,PVC파이프,수도용직관 20㎜×4m,본," 3,420 ",2020,2020-03-08,10," 34,200 ",2020-02-10,2020-04-07,57
AG-ADT-00001,배관설비재,동파이프,L-TYPE 15A 15.88㎜   0.426kg/m,m," 4,350 ",2020,2020-03-20,20," 87,000 ",2020-02-28,2020-08-16,170
AG-ADU-00001,배관설비재,수도용폴리에틸렌관,SDR11 PE80 무공관 20mm,m, 560 ,2020,2020-10-17,26," 14,560 ",2020-09-26,2021-02-26,153
AG-ADV-00001,배관설비재,가스관,PLP 가스관  150A ,m," 43,550 ",2020,2020-10-08,45," 1,959,750 ",2020-09-24,2021-02-01,130
AG-ADW-00001,배관설비재,가단주철제관이음쇠(흑관),나사식소켓 15mm ,EA, 450 ,2020,2020-12-17,48," 21,600 ",2020-12-16,2021-04-01,106
AG-ADX-00001,배관설비재,동관이음쇠(KSD5578),90도 엘보 65mm  외경 66.68mm,EA," 17,220 ",2020,2020-08-06,8," 137,760 ",2020-07-09,2020-11-19,133
AH-ADY-00001,밸브류,청동제밸브,게이트 15㎜   5kg/㎠,EA," 7,980 ",2020,2020-06-13,47," 375,060 ",2020-05-18,2020-05-29,11
AH-ADZ-00001,밸브류,주철제밸브,게이트 80㎜  10kg/㎠,EA," 97,500 ",2020,2020-05-08,34," 3,315,000 ",2020-05-03,2020-09-21,141
AH-AEA-00001,밸브류,주강제밸브,게이트 80㎜  10kg/㎠,EA," 347,600 ",2020,2020-06-01,19," 6,604,400 ",2020-06-01,2020-09-08,99
AI-AEB-00001,보온.보냉재,미네랄울파이프카바,"40mm, 1½"", 40T",m," 4,603 ",2020,2020-02-06,20," 92,060 ",2020-02-03,2020-06-07,125
AJ-AEC-00001,"전기통신
및
소방설비",HIV전선,단선2.5 SQ,m, 210 ,2020,2020-07-10,28," 5,880 ",2020-07-09,2020-07-18,9
AJ-AED-00001,"전기통신
및
소방설비",OW전선,연선 14㎟,m," 1,290 ",2020,2020-10-05,30," 38,700 ",2020-09-12,2021-03-02,171
AJ-AEE-00001,"전기통신
및
소방설비",F-CV전선,1C 2.5SQ(0.6/1KV),m, 423 ,2020,2020-08-20,1, 423 ,2020-08-03,2020-10-15,73
AJ-AEF-00001,"전기통신
및
소방설비",고주파동축케이블,"ECX 5C-2V, 1×0.8㎜(소선수X소선경), 75Ω  -KSC 3610-",m, 680 ,2020,2020-10-06,29," 19,720 ",2020-09-13,2021-01-12,121
AJ-AEG-00001,"전기통신
및
소방설비",CPEV전화케이블,"0.5㎜, 200P",m," 13,730 ",2020,2020-06-03,26," 356,980 ",2020-05-21,2020-06-22,32
AJ-AEH-00001,"전기통신
및
소방설비",LAN(UTP)케이블,"UTP CAT.6/CM,  24AWG*4PR",m, 670 ,2020,2020-08-22,20," 13,400 ",2020-08-07,2020-09-29,53
AJ-AEI-00001,"전기통신
및
소방설비",에나멜동선,PEW/UEW 0.14㎜,kg," 12,756 ",2020,2020-11-21,22," 280,632 ",2020-10-31,2020-12-01,31
AJ-AEJ-00001,"전기통신
및
소방설비",강제전선관,"KSC 8401,16mm,21.0*2.30mm,1.06kg/m",m," 1,930 ",2020,2020-02-14,45," 86,850 ",2020-01-15,2020-04-15,91
AJ-AEK-00001,"전기통신
및
소방설비",난연PE전선관(HIM),22×27.5×2.5㎜ UL94v2급,m, 780 ,2020,2020-06-04,12," 9,360 ",2020-05-27,2020-06-20,24
AJ-AEL-00001,"전기통신
및
소방설비",몰드변압기,"100KVA (22.9Kv/480Kv 이하), 3상 표준소비효율",대," 13,300,000 ",2020,2020-02-24,19," 252,700,000 ",2020-02-01,2020-04-23,82
AJ-AEM-00001,"전기통신
및
소방설비",배선용차단기(MCCB),"ABN-52C, 정격전압:460V, 정격전류:15~50, 14KA, 극수2P",대," 32,500 ",2020,2020-10-08,12," 390,000 ",2020-09-15,2020-12-06,82
AJ-AEN-00001,"전기통신
및
소방설비",전자개폐기,"표준형 CMS-50, 11KW/220V, 22KW/460V, 2소자",대," 82,857 ",2020,2020-10-14,47," 3,894,279 ",2020-10-11,2021-02-02,114
AJ-AEO-00001,"전기통신
및
소방설비",형광램프,"FL 20S-EX-D, 20W, 삼파장(번개표)",EA," 1,900 ",2020,2020-05-13,15," 28,500 ",2020-04-16,2020-07-02,77
AJ-AEP-00001,"전기통신
및
소방설비",축전지,"자동차용축전지, BX 80 L/R, (12V,80AH)",EA," 115,000 ",2020,2020-01-02,29," 3,335,000 ",2019-12-28,2020-01-20,23
AJ-AEQ-00001,"전기통신
및
소방설비",ABC소화기,"1.5kg(빌딩,공장용,대종규격)",대," 20,000 ",2020,2020-04-12,37," 740,000 ",2020-04-02,2020-09-08,159
AK-AER-00001,기계공구,수중펌프,심정용 ST-1027,대," 1,638,000 ",2020,2020-05-03,3," 4,914,000 ",2020-04-30,2020-07-25,86
AK-AES-00001,기계공구,교류아크용접기,HAWL-130 10KVA 5KW 130A,대," 196,000 ",2020,2020-09-07,13," 2,548,000 ",2020-08-16,2021-01-07,144
AK-AET-00001,기계공구,용접봉,연강용 4.0mm(KSE-4301),kg," 2,980 ",2020,2020-08-25,40," 119,200 ",2020-08-02,2020-11-14,104
AK-AEU-00001,기계공구,전기드릴,PD-10C,대," 90,000 ",2020,2020-10-06,44," 3,960,000 ",2020-09-22,2020-11-08,47
AK-AEV-00001,기계공구,핸드그라인더,PG-6,대," 176,000 ",2020,2020-08-17,10," 1,760,000 ",2020-07-24,2021-01-03,163
AK-AEW-00001,기계공구,단열볼베어링,ZZ 6010(국산),EA," 8,549 ",2020,2020-02-09,10," 85,490 ",2020-02-06,2020-03-24,47
AK-AEX-00001,기계공구,유도전동기,저압모터 0.75KW 4P 삼상전폐(프리미엄효율),대," 399,000 ",2020,2020-10-12,50," 19,950,000 ",2020-10-04,2021-02-13,132
AL-AEY-00001,석유화학제품,나프타,공업용,ℓ,301.6 ,2020,2020-10-07,40," 12,064 ",2020-09-20,2021-02-24,157
AL-AEZ-00001,석유화학제품,에틸렌,99.8%이상,Ton," 990,000 ",2020,2020-07-02,15," 14,850,000 ",2020-06-21,2020-11-10,142
AL-AFA-00001,석유화학제품,프로필렌,99.6%PG중합용,Ton," 895,000 ",2020,2020-04-03,48," 42,960,000 ",2020-03-05,2020-04-11,37
AL-AFB-00001,석유화학제품,부타디엔,1.3 부타디엔,Ton," 1,100,000 ",2020,2020-05-03,23," 25,300,000 ",2020-04-22,2020-05-25,33
AL-AFC-00001,석유화학제품,벤젠,99.9% 용제용,Ton," 1,020,000 ",2020,2020-06-07,1," 1,020,000 ",2020-05-22,2020-06-18,27
AL-AFD-00001,석유화학제품,톨루엔,99%,Ton," 635,000 ",2020,2020-08-15,32," 20,320,000 ",2020-07-20,2020-11-20,123
AL-AFE-00001,석유화학제품,크실렌,99%용제용,Ton," 655,000 ",2020,2020-05-27,3," 1,965,000 ",2020-05-23,2020-06-09,17
AL-AFF-00001,석유화학제품,싸이클로핵산,99.8%,Ton," 2,095,000 ",2020,2020-01-14,39," 81,705,000 ",2020-01-04,2020-02-09,36
AL-AFG-00001,석유화학제품,테레프탈산,"4CBA, 25PPM이하",Ton," 902,000 ",2020,2020-06-09,10," 9,020,000 ",2020-05-18,2020-07-16,59
AL-AFH-00001,석유화학제품,에틸렌그리콜,MEG 99.9%,Ton," 758,000 ",2020,2020-02-27,19," 14,402,000 ",2020-02-05,2020-04-07,62
AL-AFI-00001,석유화학제품,PVC수지,사출용,Ton," 1,180,000 ",2020,2020-09-03,13," 15,340,000 ",2020-08-06,2020-12-20,136
AL-AFJ-00001,석유화학제품,HDPE,사출용,Ton," 1,140,000 ",2020,2020-05-04,0, - ,2020-04-18,2020-04-27,9
AL-AFK-00001,석유화학제품,PS,GPPS,Ton," 1,600,000 ",2020,2020-12-02,29," 46,400,000 ",2020-11-11,2020-11-16,5
AL-AFL-00001,석유화학제품,ABS,일반용 ,Ton," 2,100,000 ",2020,2020-02-12,47," 98,700,000 ",2020-01-31,2020-02-22,22
AL-AFM-00001,석유화학제품,PP,일반용 ,Ton," 1,410,000 ",2020,2020-05-05,26," 36,660,000 ",2020-04-08,2020-07-28,111
AL-AFN-00001,석유화학제품,PG,공업용 Buㅣk,Ton," 2,710,000 ",2020,2020-07-27,10," 27,100,000 ",2020-07-25,2020-12-17,145
AL-AFO-00001,석유화학제품,페놀수지,"KC-4300, 함침용",kg," 2,470 ",2020,2020-03-23,8," 19,760 ",2020-03-21,2020-08-16,148
AL-AFP-00001,석유화학제품,페놀,합성99% ,Ton," 1,550,000 ",2020,2020-03-04,31," 48,050,000 ",2020-02-16,2020-03-01,14
AL-AFQ-00001,석유화학제품,PE필름,0.03㎜×90㎝×183ｍ,R/L," 29,160 ",2020,2020-10-20,17," 495,720 ",2020-09-27,2020-10-13,16
AL-AFR-00001,석유화학제품,PP필름,0.03㎜×10㎝×457ｍ,R/L," 8,280 ",2020,2020-04-07,4," 33,120 ",2020-03-21,2020-06-23,94
AL-AFS-00001,석유화학제품,천연고무,RSS #3,kg," 2,200 ",2020,2020-06-16,36," 79,200 ",2020-06-01,2020-10-22,143
AL-AFT-00001,석유화학제품,SBR,#1502,Ton," 1,940,000 ",2020,2020-09-05,7," 13,580,000 ",2020-09-02,2020-09-05,3
AL-AFU-00001,석유화학제품,LATEX,KSL203 in drum,Ton," 1,900,000 ",2020,2020-08-12,32," 60,800,000 ",2020-08-09,2020-12-13,126
AL-AFV-00001,석유화학제품,아크릴판,5㎜  1200×1800㎜,매," 92,900 ",2020,2020-01-13,36," 3,344,400 ",2020-01-06,2020-05-17,132
AL-AFW-00001,석유화학제품,아크릴파이프,100Ø 8×1020㎜,EA," 72,800 ",2020,2020-08-05,44," 3,203,200 ",2020-07-24,2020-11-17,116
AL-AFX-00001,석유화학제품,PE판,15㎜ 1000×2000㎜,매," 120,000 ",2020,2020-03-04,24," 2,880,000 ",2020-02-12,2020-04-16,64
AM-AFY-00001,"가스,화공약품",염산,35% 공업용 25kg,통," 12,000 ",2020,2020-07-05,43," 516,000 ",2020-06-21,2020-10-23,124
AM-AFZ-00001,"가스,화공약품",질산,68% 공업용 25kg,통," 20,000 ",2020,2020-05-11,14," 280,000 ",2020-05-01,2020-05-05,4
AM-AGA-00001,"가스,화공약품",인산,85% 공업용 35kg,통," 70,000 ",2020,2020-12-02,11," 770,000 ",2020-11-15,2021-01-09,55
AM-AGB-00001,"가스,화공약품",황산,98%공업용 25kg,통," 12,000 ",2020,2020-12-17,17," 204,000 ",2020-11-29,2021-03-31,122
AM-AGC-00001,"가스,화공약품",가성소다,98% 고체 25kg,포," 32,000 ",2020,2020-08-22,21," 672,000 ",2020-08-22,2020-08-30,8
AM-AGD-00001,"가스,화공약품",소다회,"99%,중회(공업용) 25kg",포," 25,000 ",2020,2020-11-15,31," 775,000 ",2020-10-30,2021-03-04,125
AM-AGE-00001,"가스,화공약품",염화칼슘,74% 공업용 25kg,포," 11,000 ",2020,2020-06-18,9," 99,000 ",2020-05-24,2020-05-31,7
AM-AGF-00001,"가스,화공약품",암모니아수,"25%,18kg",통," 18,000 ",2020,2020-10-23,3," 54,000 ",2020-10-23,2021-01-03,72
AM-AGG-00001,"가스,화공약품",과산화수소,"35% 액상, 20kg",통," 25,000 ",2020,2020-12-23,50," 1,250,000 ",2020-12-03,2021-05-04,152
AM-AGH-00001,"가스,화공약품",산화크롬,98.5% 25kg,포," 450,000 ",2020,2020-04-01,11," 4,950,000 ",2020-03-17,2020-08-28,164
